,S.No.,Name,Market Cap(Cr),Sales Quarterly(Cr)
338,443,Suprajit Engg.,3777.26,366.29
339,444,J & K Bank,3775.5,1682.97
340,445,Navin Fluo.Intl.,3769.26,221.45
341,446,Karnataka Bank,3765.74,1332.24
342,447,Shilpa Medicare,3764.1,185.53
343,448,Kushal,3761.86,578.18
344,449,Venky's (India),3760.61,695.85
345,450,Force Motors,9885.05,1278.3
346,451,CCL Products,3748.73,273.99
347,452,Excel Crop Care,3734.06,258.65
348,453,Trident,3722.6,1137.17
349,455,Rane Holdings,3711.8,593.74
350,456,Team Lease Serv.,3677.34,918.06
351,458,I T D C,3619.04,102.14
352,459,JP Power Ven.,3597.6,1278.3
353,460,S C I,3582,879.56
354,461,JK Tyre & Indust,3577.98,2123.24
355,462,Deepak Nitrite,3531.9,371.14
356,463,Heidelberg Cem.,3531.77,491.23
357,464,Amber Enterp.,3529.87,1278.3
358,465,Sharda Cropchem,3528.07,325.46
359,466,Dixon Technolog.,3526.8,677.8
360,467,Himatsing. Seide,3511.08,595.61
361,468,La Opala RG,3510.93,69.77
362,469,H F C L,3482.71,714.42
363,470,Reliance Home,3470.6,403
364,471,Rupa & Co,3460.91,277.96
365,472,Hind.Construct.,3452.57,1278.3
366,473,Ent.Network,3380.99,148.42
367,474,Supreme Petroch.,3377.57,725.02
368,475,MAS FINANC SER,3376.2,112.05
369,476,Thyrocare Tech.,3374.38,77.84
370,477,Prakash Inds.,3336.05,725.97
371,478,Repco Home Fin,3331.08,277.48
372,479,Sonata Software,3329.58,766.75
373,480,Central Dep. Ser,3316.31,47.24
374,481,Puravankara,3274.9,440.09
375,482,Tejas Networks,3209.89,229.87
376,483,ITD Cem,3192.67,472.98
377,484,Hathway Cable,3189.1,138.65
378,485,Dhanuka Agritech,3188.62,221.51
379,486,Mahindra Logis.,3187.51,835.06
380,487,Heritage Foods,3185.45,581.74
381,488,Mah. Seamless,3164.73,563.66
382,489,Navneet Educat.,3148.36,174.41
383,490,Firstsour.Solu.,3139.94,887.24
384,491,Kaveri Seed Co.,3125.83,70.64
385,492,Star Ferro Cem.,3115.98,393.49
386,493,Deepak Fert.,3079.06,1644.92
387,494,Va Tech Wabag,3041.93,460.89
388,495,Prime Focus,3031.5,609.61
389,496,Lak. Vilas Bank,3029.57,790.17
390,497,NOCIL,3026.26,249.27
391,498,Orient Cement,3024.32,511.53
392,499,Natl.Fertilizer,3017.07,2840.75
393,500,L T Foods,9885.05,1278.3
